Section,Order to run,Script name,Description,Input files,Input description,Output files,Output description,Note
main domestic analysis,11,land_footprint_estimate.R; newer version land_footprint_estimate_DT.R,"Apply the second part of the EEIO model by multiplying the county total demand for each county in each scenario) allocated across all producing counties, times the land exchanges for the states where the producing counties are located, to result in land flows between each county in each scenario (including 3 land types).",state_land_exchange_tables.RData; county_consumption_csvs from previous script,land exchange matrices for each state; inter-county flows of agricultural goods in each scenario,county_land_consumption_csvs/D_{dietscenario}_WR_{wastescenario}_landconsumption.csv,"inter-county flows of land, in 3 categories, in each scenario",Was rerun correcting for production factor mistake
main domestic analysis,12,county_to_tnc_landflows.R; new version county_to_tnc_landflows_DT.R (see also the version county_landflows_weight_tnc_DT.R in DT_version/deprecated/ folder),"Convert flows from inter-county flows to inter-TNC ecoregion flows (first incoming only, or TNC to county, and next incoming+outgoing, or TNC to TNC). The first part is done by proportionally dividing up the flows exiting each county to flows exiting each TNC ecoregion that makes up that county, based on the proportions of NLCD pixels in each ecoregion in each county. The second part is done by proportionally dividing up the flows entering each county to flows entering each TNC ecoregion that makes up that county, based on the proportion of population in each ecoregion in each county. (Those proportional counts were done in previous scripts described elsewhere.)",NLCDcrop_county_x_TNC.csv; population_county_x_TNC_longform.csv; county_land_consumption_csvs from the previous script,Pixel counts of NLCD crop and pasture pixels in all intersection polygons of county and TNC ecoregion; population counts for the same; inter-county flows of land in each scenario,ecoregion_landflow_csvs/D_{dietscenario}_WR_{wastescenario}_landflows_tnc_to_county.csv and landflows_tnc_to_tnc.csv; landflows_tnc_x_tnc_all_scenarios.csv,"flows of land from each TNC ecoregion to each county in each scenario; inter-ecoregion flows of land in each scenario (separate files for each scenario, and combined into one)",Was rerun correcting for production factor mistake
main domestic analysis,13,landflows_to_biodiv.R; newer version landflows_to_biodiv_by_county_DT.R,"Multiply inter-TNC-ecoregion flows by biodiversity threat characterization factors to get the estimated species lost as a result of each flow. This is done by joining the TNC-TNC flow data for each scenario with the Chaudhary characterization factors for the TNC region where the flow originates, using the ""medium intensity"" assumption, then multiplying the flow in square meters by the CF in species lost per square meter of land occupied.",landflows_tnc_x_tnc_all_scenarios.csv; chaud2018si_CFs.csv,inter-ecoregion flows of land in each scenario; biodiversity threat characterization factors for each ecoregion,species_lost_all_scenarios.csv; species_lost_all_scenarios_occ.csv; species_lost_all_scenarios_occ_{intensity}.csv,all estimated biodiversity loss values associated with each flow of land in each scenario; also various subsets to save time loading later,Was rerun correcting for production factor mistake
foreign analysis,1,fao_foreign_land_imports_DT.R,Find how much cropland and pastureland is imported from foreign countries to United States under baseline and alternative scenario,contents of data/cfs_io_analysis/faostat2017; crossreference_tables/faostat_all_codes_harmonized.csv; bea_consumption_factors_diet_waste_scenarios.csv,"Extracted raw FAOSTAT data and the consumption factors for the different scenarios calculated in domestic script 7 above, crosswalk table for FAO categories and BEA codes",fao_production_trade_crops.csv; fao_production_trade_animals.csv; fao_VLT_provisonal.csv,production of crops and animal products in foreign countries and quantities of each sent to USA; exports to USA converted to virtual land transfers,
foreign analysis,2,fao_transfers_by_ecoregion_DT.R,Proportionally allocate the virtual land flows from exporting countries to ecoregions within those countries,raw_data/landuse/output_csvs/global_count_cropdominance.csv and global_count_pasture.csv; fao_VLT_provisional.csv,Pixel counts of crop and pasture pixels for all intersected country by TNC polygons (calculated in a spatial processing script); virtual land transfers originating from foreign countries,foreign_VLT_by_country_x_TNC.csv; foreign_VLT_by_TNC.csv,foreign virtual land transfers originating from each combination of country x TNC ecoregion; the same summed by ecoregion,
foreign analysis,3,foreign_vlt_to_counties_DT.R,"Allocate imported virtual land flows to importing counties, assuming for simplification that they are distributed proportionally based on county income",foreign_VLT_by_TNC.csv; raw_data/commodity_flows/Lin_supp_info/County Personal Income.xlsx,Virtual land flows summed by exporting ecoregion; county personal income totals for 2012,foreign_VLT_by_TNC_x_county.csv; foreign_VLT_to_counties.csv,foreign virtual land transfers by exporting ecoregion by importing county; the same summed for each importing county,
foreign analysis,4,foreign_landflows_to_biodiv_DT.R,Use Chaudhary's characterization factors to convert the virtual land flows to biodiversity flows by exporting ecoregion and importing county,raw_data/biodiversity/chaudhary2015SI/chaudh2018si_CFs.csv; foreign_VLT_by_country_x_TNC.csv; foreign_VLT_by_TNC_x_county.csv,"Characterization factors for biodiversity loss per land use from Chaudhary 2018; foreign virtual land transfers summed by exporting country x TNC, and by exporting TNC x importing county",scenarios/foreign_species_lost_by_export_country_x_tnc.csv; scenarios/foreign_species_lost_by_import_county.csv,foreign virtual biodiversity transfers summed by exporting region and by importing region (did not bother to save the full pairwise set of transfers due to space constraints),
visualizations,14,figs/figs_v2_summarydata.R,Calculate high level sums of flows for plotting; smaller ones that can be run locally,,,,,Was rerun correcting for production factor mistake
visualizations,15,figs/figs_v2_summarydata_parallel.R,"Calculate high level sums of flows for plotting; larger ones that require parallel procesisng, including flows of land and goods for all counties across all scenarios",,,,,
visualizations,16,figs/figs_v2_loaddata.R (sources figs_v2_lookups.R),"Loads all necessary data, map objects, lookup tables, and plotting themes for making figures",,,,,
visualizations,17,"All other scripts prefixed figs/figs_v2_X.R; includes consumption, countylandmaps, ecoregionmaps, foreign, panelmaps, statectyextmaps",,,,,,
